t1,t2,t3,style,k,theta0_deg,source
*5,c3m_,o3e_,quadratic,70,109.5,cvff_auto
*5,c3m_,o4e_,quadratic,70,109.5,cvff_auto
*5,c3m_,o_,quadratic,70,109.5,cvff_auto
*5,c4m_,o'_,quadratic,70,109.5,cvff_auto
*5,c4m_,o3e_,quadratic,70,109.5,cvff_auto
*5,c4m_,o4e_,quadratic,70,109.5,cvff_auto
*5,c4m_,o_,quadratic,70,109.5,cvff_auto
*5,c=_,o'_,quadratic,68,120,cvff_auto
*5,c=_,o_,quadratic,68,120,cvff_auto
*5,c_,o_,quadratic,70,109.5,cvff_auto
*5,cp_,o'_,quadratic,60,120,cvff_auto
*5,cp_,o_,quadratic,60,120,cvff_auto
*5,n3m_,s3e_,quadratic,80,109,cvff_auto
*5,n3m_,s4e_,quadratic,80,109,cvff_auto
*5,n3m_,s_,quadratic,80,109,cvff_auto
*5,n4m_,s3e_,quadratic,80,109,cvff_auto
*5,n4m_,s4e_,quadratic,80,109,cvff_auto
*5,n4m_,s_,quadratic,80,109,cvff_auto
*5,n_,s3e_,quadratic,50,120,cvff_auto
*5,n_,s4e_,quadratic,50,120,cvff_auto
*5,n_,s_,quadratic,50,120,cvff_auto
*5,na_,s3e_,quadratic,80,109,cvff_auto
*5,na_,s4e_,quadratic,80,109,cvff_auto
*5,na_,s_,quadratic,80,109,cvff_auto
*5,np_,o'_,quadratic,75,120,cvff_auto
*5,np_,o_,quadratic,75,120,cvff_auto
*5,o_,o'_,quadratic,60,109.5,cvff_auto
*5,o_,o_,quadratic,60,109.5,cvff_auto
*5,p_,s_,quadratic,45,109.5,cvff_auto
*5,s3e_,o'_,quadratic,42.299999999999997,113.09999999999999,cvff_auto
*5,s3e_,o_,quadratic,42.299999999999997,113.09999999999999,cvff_auto
*5,s4e_,o'_,quadratic,42.299999999999997,113.09999999999999,cvff_auto
*5,s4e_,o_,quadratic,42.299999999999997,113.09999999999999,cvff_auto
*5,s_,o'_,quadratic,42.299999999999997,113.09999999999999,cvff_auto
*5,s_,o_,quadratic,42.299999999999997,113.09999999999999,cvff_auto
*5,si_,o_,quadratic,42.299999999999997,113.09999999999999,cvff_auto
*5,sp_,o'_,quadratic,126.506,92.566999999999993,cvff_auto
*5,sp_,o_,quadratic,126.506,92.566999999999993,cvff_auto
*6,c'_,o'_,quadratic,68,120,cvff_auto
*6,c3m_,n3m_,quadratic,50,109.5,cvff_auto
*6,c3m_,n4m_,quadratic,50,109.5,cvff_auto
*6,c3m_,n_,quadratic,50,109.5,cvff_auto
*6,c4m_,n3m_,quadratic,50,109.5,cvff_auto
*6,c4m_,n4m_,quadratic,50,109.5,cvff_auto
*6,c4m_,n_,quadratic,50,109.5,cvff_auto
*6,c=_,n3m_,quadratic,90,120,cvff_auto
*6,c=_,n4m_,quadratic,90,120,cvff_auto
*6,c=_,n_,quadratic,90,120,cvff_auto
*6,c_,n3m_,quadratic,50,109.5,cvff_auto
*6,c_,n4m_,quadratic,50,109.5,cvff_auto
*6,c_,n_,quadratic,50,109.5,cvff_auto
*6,cp_,n3m_,quadratic,102,120,cvff_auto
*6,cp_,n4m_,quadratic,102,120,cvff_auto
*6,cp_,n_,quadratic,102,120,cvff_auto
*6,n3m_,o'_,quadratic,80,114,cvff_auto
*6,n4m_,o'_,quadratic,80,114,cvff_auto
*6,n_,o'_,quadratic,80,120,cvff_auto
*6,na_,o'_,quadratic,80,114,cvff_auto
*6,np_,n_,quadratic,75,120,cvff_auto
*6,o_,n3m_,quadratic,72,120,cvff_auto
*6,o_,n4m_,quadratic,72,120.001,cvff_auto
*6,o_,n_,quadratic,72,120,cvff_auto
*6,p_,o'_,quadratic,110,120,cvff_auto
*6,s3e_,n3m_,quadratic,42.299999999999997,113.09999999999999,cvff_auto
*6,s3e_,n4m_,quadratic,42.299999999999997,113.09999999999999,cvff_auto
*6,s3e_,n_,quadratic,42.299999999999997,113.09999999999999,cvff_auto
*6,s4e_,n3m_,quadratic,42.299999999999997,113.09999999999999,cvff_auto
*6,s4e_,n4m_,quadratic,42.299999999999997,113.09999999999999,cvff_auto
*6,s4e_,n_,quadratic,42.299999999999997,113.09999999999999,cvff_auto
*6,s_,n3m_,quadratic,42.299999999999997,113.09999999999999,cvff_auto
*6,s_,n4m_,quadratic,42.299999999999997,113.09999999999999,cvff_auto
*6,s_,n_,quadratic,42.299999999999997,113.09999999999999,cvff_auto
*6,si_,n_,quadratic,44.399999999999999,113.5,cvff_auto
*6,sp_,n_,quadratic,126.506,92.566999999999993,cvff_auto
*7,c'_,o_,quadratic,122,110,cvff_auto
*7,c3m_,c3m_,quadratic,46,109.5,cvff_auto
*7,c3m_,c4m_,quadratic,46,109.5,cvff_auto
*7,c3m_,c_,quadratic,46,109.5,cvff_auto
*7,c4m_,c3m_,quadratic,46,109.5,cvff_auto
*7,c4m_,c4m_,quadratic,46,109.5,cvff_auto
*7,c4m_,c_,quadratic,46,109.5,cvff_auto
*7,c=_,c3m_,quadratic,36.200000000000003,120,cvff_auto
*7,c=_,c4m_,quadratic,36.200000000000003,120,cvff_auto
*7,c=_,c_,quadratic,36.200000000000003,120,cvff_auto
*7,c_,c3m_,quadratic,46,109.5,cvff_auto
*7,c_,c4m_,quadratic,46,109.5,cvff_auto
*7,c_,c_,quadratic,46,109.5,cvff_auto
*7,cp_,c3m_,quadratic,80,120,cvff_auto
*7,cp_,c4m_,quadratic,80,120,cvff_auto
*7,cp_,c_,quadratic,80,120,cvff_auto
*7,n3m_,o_,quadratic,80,109,cvff_auto
*7,n4m_,o_,quadratic,80,109,cvff_auto
*7,n_,o_,quadratic,50,120,cvff_auto
*7,na_,o_,quadratic,80,109,cvff_auto
*7,np_,c3m_,quadratic,75,120,cvff_auto
*7,np_,c4m_,quadratic,75,120,cvff_auto
*7,np_,c_,quadratic,75,120,cvff_auto
*7,o_,c3m_,quadratic,60,109.5,cvff_auto
*7,o_,c4m_,quadratic,60,109.5,cvff_auto
*7,o_,c_,quadratic,60,109.5,cvff_auto
*7,p_,o_,quadratic,45,109.5,cvff_auto
*7,s3e_,c3m_,quadratic,58,99,cvff_auto
*7,s3e_,c4m_,quadratic,58,99,cvff_auto
*7,s3e_,c_,quadratic,58,99,cvff_auto
*7,s4e_,c3m_,quadratic,58,99,cvff_auto
*7,s4e_,c4m_,quadratic,58,99,cvff_auto
*7,s4e_,c_,quadratic,58,99,cvff_auto
*7,s_,c3m_,quadratic,58,99,cvff_auto
*7,s_,c4m_,quadratic,58,99,cvff_auto
*7,s_,c_,quadratic,58,102,cvff_auto
*7,si_,c3m_,quadratic,44.399999999999999,113.5,cvff_auto
*7,si_,c4m_,quadratic,44.399999999999999,113.5,cvff_auto
*7,si_,c_,quadratic,44.399999999999999,113.5,cvff_auto
*7,sp_,c3m_,quadratic,126.506,92.566999999999993,cvff_auto
*7,sp_,c4m_,quadratic,126.506,92.566999999999993,cvff_auto
*7,sp_,c_,quadratic,126.506,92.566999999999993,cvff_auto
*8,c'_,n3m_,quadratic,53.5,120,cvff_auto
*8,c'_,n4m_,quadratic,53.5,120,cvff_auto
*8,c'_,n_,quadratic,53.5,120,cvff_auto
*8,n3m_,n3m_,quadratic,80,109,cvff_auto
*8,n3m_,n4m_,quadratic,80,109,cvff_auto
*8,n3m_,n_,quadratic,80,109,cvff_auto
*8,n4m_,n3m_,quadratic,80,109,cvff_auto
*8,n4m_,n4m_,quadratic,80,109,cvff_auto
*8,n4m_,n_,quadratic,80,109,cvff_auto
*8,n_,n_,quadratic,50,120,cvff_auto
*8,na_,n3m_,quadratic,80,109,cvff_auto
*8,na_,n4m_,quadratic,80,109,cvff_auto
*8,na_,n_,quadratic,80,109,cvff_auto
*8,p_,n_,quadratic,45,109.5,cvff_auto
*9,c'_,c3m_,quadratic,40,120,cvff_auto
*9,c'_,c4m_,quadratic,40,120,cvff_auto
*9,c'_,c_,quadratic,40,120,cvff_auto
*9,n3m_,c_,quadratic,80,114,cvff_auto
*9,n4m_,c_,quadratic,80,110,cvff_auto
*9,n_,c3m_,quadratic,50,120,cvff_auto
*9,n_,c4m_,quadratic,50,120,cvff_auto
*9,n_,c_,quadratic,50,120,cvff_auto
*9,na_,c3m_,quadratic,80,109,cvff_auto
*9,na_,c4m_,quadratic,80,109,cvff_auto
*9,na_,c_,quadratic,80,109,cvff_auto
*9,p_,c3m_,quadratic,45,109.5,cvff_auto
*9,p_,c4m_,quadratic,45,109.5,cvff_auto
*9,p_,c_,quadratic,45,109.5,cvff_auto
Al,o1a,Al,quadratic,150,109.5,cvff
CA,CA,CA,quadratic,40,120,cvff
CA,CA,CD,quadratic,45,120,cvff
CA,CA,HGP1,quadratic,52,115,cvff
CA,CA,NCH2,quadratic,42,120,cvff
CA,CA,NN,quadratic,48,122,cvff
CA,CA,S,quadratic,40,122.3,cvff
CA,CA,cae,quadratic,90,90,cvff
CA,CA,hiff,quadratic,37,120,cvff
CA,CD,OB,quadratic,45,120,cvff
CA,CD,OH1,quadratic,45,120,cvff
CA,NCH2,CT3,quadratic,30.5,109.7,cvff
CA,NN,NN,quadratic,60,112,cvff
CA,S,HS,quadratic,43,95,cvff
CA,S,OC,quadratic,85,98,cvff
CD,CA,cae,quadratic,90,90,cvff
CD,CT2,S,quadratic,28.18,99.560000000000002,cvff
CT3,NCH2,CT3,quadratic,42.5,116,cvff
HA3,CT3,HA3,quadratic,35.5,108.40000000000001,cvff
HA3,CT3,NCH2,quadratic,48,113.5,cvff
HGP1,NN,NN,quadratic,55,102,cvff
IHOY,atoh,ato2,quadratic,30,101.898,cvff
IHOY,atoh,ato3,quadratic,30,101.898,cvff
IHOY,rtoh,rto2,quadratic,30,138.447,cvff
IHOY,rtoh,rto3,quadratic,30,90,cvff
IHOY,zoh1,zr1,quadratic,250,118,cvff
IHOY,zoh1,zr2,quadratic,250,130,cvff
IHOY,zoh1,zr3,quadratic,250,130,cvff
IHOY,zoh1,zr4,quadratic,250,118,cvff
IHOY,zoh2,zr1,quadratic,250,100,cvff
IHOY,zoh2,zr2,quadratic,250,108,cvff
IHOY,zoh2,zr3,quadratic,250,108,cvff
IHOY,zoh2,zr4,quadratic,250,100,cvff
NCH2,CA,cae,quadratic,90,90,cvff
NN,CA,cae,quadratic,90,90,cvff
Ni,o00,Ni,quadratic,150,128,cvff
Ni,o00,Ni2,quadratic,150,79,cvff
Ni,o10,Ni,quadratic,150,167,cvff
Ni,o10,Ni2,quadratic,150,85,cvff
Ni,o11,Ni,quadratic,150,85.599999999999994,cvff
Ni2,o00,Ni2,quadratic,150,128,cvff
Ni2,o10,Ni2,quadratic,150,79.5,cvff
OC,S,OC,quadratic,130,109.47,cvff
S,CA,cae,quadratic,90,90,cvff
ac1,oc3,ac1,quadratic,110,156.69999999999999,cvff
ac1,oc4,hoc,quadratic,40,115,cvff
al,oz,al,quadratic,31.100000000000001,149.80000000000001,cvff
al,oz,sz,quadratic,31.100000000000001,149.80000000000001,cvff
al,si,si,quadratic,5,109.47,cvff
aot1,ato1,aot1,quadratic,0,0,cvff
aot1,ato1,aot2,quadratic,30,78.102000000000004,cvff
aot1,ato2,aot2,quadratic,30,78.102000000000004,cvff
aot1,ato2,aot3,quadratic,30,101.898,cvff
aot1,ato2,aot4,quadratic,30,180,cvff
aot2,ato1,aot2,quadratic,30,180,cvff
aot2,ato2,aot2,quadratic,30,156.20400000000001,cvff
aot2,ato2,aot3,quadratic,30,92.436000000000007,cvff
aot2,ato2,aot4,quadratic,30,101.898,cvff
aot2,ato2,atoh,quadratic,30,101.898,cvff
aot2,ato3,aot2,quadratic,30,156.20400000000001,cvff
aot3,ato2,aot3,quadratic,30,156.20400000000001,cvff
aot3,ato2,aot4,quadratic,30,78.102000000000004,cvff
aot3,ato2,atoh,quadratic,30,92.436000000000007,cvff
aot3,ato3,aot3,quadratic,30,180,cvff
aot3,ato3,aot4,quadratic,0,0,cvff
aot3,ato3,atoh,quadratic,30,101.898,cvff
aot4,ato2,atoh,quadratic,30,101.898,cvff
aot4,ato3,aot4,quadratic,30,156.20400000000001,cvff
aot4,ato3,atoh,quadratic,30,92.436000000000007,cvff
ato1,aot1,ato1,quadratic,30,156.20400000000001,cvff
ato1,aot1,ato2,quadratic,30,101.898,cvff
ato1,aot2,ato2,quadratic,30,101.898,cvff
ato2,aot2,ato2,quadratic,30,156.20400000000001,cvff
ato2,aot3,ato2,quadratic,30,180,cvff
ato2,aot3,ato3,quadratic,30,101.898,cvff
ato2,aot4,ato3,quadratic,30,101.898,cvff
ato2,atoh,ato2,quadratic,30,156.20400000000001,cvff
ato2,atoh,hspc,quadratic,50,47.162999999999997,cvff
ato3,aot4,ato3,quadratic,30,156.20400000000001,cvff
ato3,atoh,ato3,quadratic,30,156.20400000000001,cvff
ato3,atoh,hspc,quadratic,50,47.162999999999997,cvff
atoh,ato2,atoh,quadratic,30,156.20400000000001,cvff
atoh,ato3,atoh,quadratic,30,156.20400000000001,cvff
ay1,oy4,ay2,quadratic,170,101.59999999999999,cvff
ay1,oy4,hok,quadratic,45,126,cvff
ay1,oy4,sy1,quadratic,170,127.5,cvff
ay1,oy5,ay2,quadratic,170,101.59999999999999,cvff
ay1,oy5,hok,quadratic,45,126,cvff
ay1,oy5,sy2,quadratic,170,123.8,cvff
ay1,oy6,ay2,quadratic,170,103,cvff
ay1,oy6,hok,quadratic,45,126,cvff
ay1,oy6,hoy,quadratic,45,126,cvff
ay1,oy7,ay2,quadratic,170,101.59999999999999,cvff
ay1,oy7,sy1,quadratic,170,123.7,cvff
ay1,oy8,ay2,quadratic,170,101.59999999999999,cvff
ay1,oy8,sy2,quadratic,170,127.2,cvff
ay1,oy9,ay2,quadratic,170,103,cvff
ay1,oy9,hoy,quadratic,45,126,cvff
ay2,oy4,hok,quadratic,45,126,cvff
ay2,oy4,sy1,quadratic,170,123.7,cvff
ay2,oy5,hok,quadratic,45,126,cvff
ay2,oy5,sy2,quadratic,170,127.2,cvff
ay2,oy6,hok,quadratic,45,126,cvff
ay2,oy6,hoy,quadratic,45,126,cvff
ay2,oy7,sy1,quadratic,170,127.5,cvff
ay2,oy8,sy2,quadratic,170,123.8,cvff
ay2,oy9,hoy,quadratic,45,126,cvff
ayt1,oc23,hoy,quadratic,50,115,cvff
ayt2,oc23,hoy,quadratic,50,115,cvff
az,oz,az,quadratic,31.100000000000001,149.80000000000001,cvff
az,oz,ho,quadratic,33.299999999999997,113.40000000000001,cvff
az,sz,sz,quadratic,5,109.47,cvff
br,c,c,quadratic,96,107.8,cvff
br,c,h,quadratic,56,107.09999999999999,cvff
br,cp,cp,quadratic,96,120,cvff
c,c,c,quadratic,46.600000000000001,110.5,cvff
c,c,c',quadratic,46.600000000000001,110.5,cvff
c,c,c5,quadratic,46.600000000000001,110.5,cvff
c,c,cl,quadratic,85,107.8,cvff
c,c,cp,quadratic,46.600000000000001,110.5,cvff
c,c,f,quadratic,99,107.8,cvff
c,c,h,quadratic,44.399999999999999,110,cvff
c,c,n,quadratic,50,109.5,cvff
c,c,n3,quadratic,50,109.5,cvff
c,c,np,quadratic,80,109.5,cvff
c,c,o,quadratic,70,109.5,cvff
c,c,s,quadratic,62,109,cvff
c,c,sh,quadratic,62,109,cvff
c,c',c,quadratic,40,120,cvff
c,c',n,quadratic,53.5,114.09999999999999,cvff
c,c',o,quadratic,122.8,110,cvff
c,c',o',quadratic,68,120,cvff
c,c',o-,quadratic,68,120,cvff
c,c',s',quadratic,40,120,cvff
c,c5,c5,quadratic,44.200000000000003,120,cvff
c,c5,np,quadratic,50,120,cvff
c,c=,c',quadratic,50,120,cvff
c,c=,c=,quadratic,36.200000000000003,122.3,cvff
c,c=,c=1,quadratic,36.200000000000003,122.3,cvff
c,c=,c=2,quadratic,36.200000000000003,122.3,cvff
c,c=,h,quadratic,37.5,120,cvff
c,c=1,c',quadratic,50,120,cvff
c,c=1,c=,quadratic,36.200000000000003,122.3,cvff
c,c=1,c=1,quadratic,36.200000000000003,122.3,cvff
c,c=1,c=2,quadratic,36.200000000000003,122.3,cvff
c,c=1,h,quadratic,37.5,120,cvff
c,c=2,c',quadratic,50,120,cvff
c,c=2,c=,quadratic,36.200000000000003,122.3,cvff
c,c=2,c=1,quadratic,36.200000000000003,122.3,cvff
c,c=2,c=2,quadratic,36.200000000000003,122.3,cvff
c,c=2,h,quadratic,37.5,120,cvff
c,cp,cp,quadratic,44.200000000000003,120,cvff
c,n,c,quadratic,37,120,cvff
c,n,c',quadratic,111,118,cvff
c,n,hn,quadratic,35,122,cvff
c,n3,c,quadratic,86.299999999999997,112,cvff
c,n3,hn,quadratic,41.600000000000001,110,cvff
c,np,c5,quadratic,70,128.80000000000001,cvff
c,np,c=,quadratic,50,120,cvff
c,np,c=1,quadratic,50,120,cvff
c,np,c=2,quadratic,50,120,cvff
c,nt,nt,quadratic,50,180,cvff
c,o,c,quadratic,60,109.5,cvff
c,o,c',quadratic,60,109.5,cvff
c,o,cp,quadratic,50,109.5,cvff
c,o,ho,quadratic,58.5,106,cvff
c,o,p,quadratic,72,120,cvff
c,o,si,quadratic,56.399999999999999,124.09999999999999,cvff
c,s,c,quadratic,58,99,cvff
c,s,s,quadratic,75,109.5,cvff
c,sh,hs,quadratic,48,96,cvff
c,si,c,quadratic,44.399999999999999,113.5,cvff
c,si,h,quadratic,32.700000000000003,109.09999999999999,cvff
c,si,o,quadratic,44.100000000000001,117.3,cvff
c',c,c=,quadratic,46.600000000000001,110.5,cvff
c',c,c=1,quadratic,46.600000000000001,110.5,cvff
c',c,c=2,quadratic,46.600000000000001,110.5,cvff
c',c,h,quadratic,45,109.5,cvff
c',c,n,quadratic,50,109.5,cvff
c',c,n3,quadratic,50,109.5,cvff
c',c=,c=,quadratic,36.200000000000003,122.3,cvff
c',c=,c=1,quadratic,36.200000000000003,122.3,cvff
c',c=,c=2,quadratic,36.200000000000003,122.3,cvff
c',c=1,c=,quadratic,36.200000000000003,122.3,cvff
c',c=1,c=1,quadratic,36.200000000000003,122.3,cvff
c',c=1,c=2,quadratic,36.200000000000003,122.3,cvff
c',c=2,c=,quadratic,36.200000000000003,122.3,cvff
c',c=2,c=1,quadratic,36.200000000000003,122.3,cvff
c',c=2,c=2,quadratic,36.200000000000003,122.3,cvff
c',cp,cp,quadratic,34.679900000000004,120,cvff
c',n,hn,quadratic,37.5,115,cvff
c',o,ho,quadratic,50,112,cvff
c3m_,c3m_,c3m_,quadratic,46,60,cvff_auto
c3m_,c3m_,n3m_,quadratic,50,60,cvff_auto
c3m_,c3m_,n_,quadratic,50,112,cvff_auto
c3m_,c3m_,o3e_,quadratic,70,60,cvff_auto
c3m_,c3m_,s3e_,quadratic,62,60,cvff_auto
c3m_,c4m_,n_,quadratic,50,112,cvff_auto
c3m_,c_,n_,quadratic,50,114,cvff_auto
c3m_,n3m_,c3m_,quadratic,80,60,cvff_auto
c3m_,n3m_,c_,quadratic,80,113,cvff_auto
c3m_,n3m_,h_,quadratic,41.600000000000001,110,cvff_auto
c3m_,o3e_,c3m_,quadratic,60,58.957999999999998,cvff_auto
c3m_,s3e_,c3m_,quadratic,58,44.5,cvff_auto
c4m_,c3m_,n_,quadratic,50,112,cvff_auto
c4m_,c4m_,c4m_,quadratic,46,95,cvff_auto
c4m_,c4m_,n4m_,quadratic,50,88.340000000000003,cvff_auto
c4m_,c4m_,n_,quadratic,50,112,cvff_auto
c4m_,c4m_,o4e_,quadratic,70,91.840000000000003,cvff_auto
c4m_,c4m_,o_,quadratic,46,121,cvff_auto
c4m_,c4m_,s4e_,quadratic,62,94.590000000000003,cvff_auto
c4m_,c_,n_,quadratic,50,114,cvff_auto
c4m_,n4m_,c4m_,quadratic,80,91.379999999999995,cvff_auto
c4m_,n4m_,h_,quadratic,41.600000000000001,110,cvff_auto
c4m_,o4e_,c4m_,quadratic,60,91.736999999999995,cvff_auto
c4m_,s4e_,c4m_,quadratic,58,85.920000000000002,cvff_auto
c5,c,h,quadratic,44.399999999999999,110,cvff
c5,c5,c5,quadratic,90,120,cvff
c5,c5,cp,quadratic,90,120,cvff
c5,c5,cs,quadratic,70,112.7,cvff
c5,c5,h,quadratic,37,120,cvff
c5,c5,np,quadratic,90,120,cvff
c5,cp,cp,quadratic,90,120,cvff
c5,cp,h,quadratic,37,120,cvff
c5,cp,n,quadratic,102,120,cvff
c5,cp,np,quadratic,90,120,cvff
